chem,date,delay,price,time
Basic,2023-10-14,8 min Ago,900,14:09:04
Sniper,2023-10-14,8 min Ago,200,14:09:04
Finisher,2023-10-14,8 min Ago,400,14:09:04
Deadeye,2023-10-14,8 min Ago,200,14:09:04
Marksman,2023-10-14,8 min Ago,200,14:09:06
Hawk,2023-10-14,7 min Ago,750,14:09:06
Artist,2023-10-14,7 min Ago,200,14:09:06
Architect,2023-10-14,7 min Ago,200,14:09:06
Powerhouse,2023-10-14,7 min Ago,200,14:09:07
Maestro,2023-10-14,7 min Ago,200,14:09:07
Engine,2023-10-14,7 min Ago,650,14:09:07
Sentinel,2023-10-14,7 min Ago,200,14:09:08
Guardian,2023-10-14,7 min Ago,200,14:09:08
Gladiator,2023-10-14,6 min Ago,200,14:09:08
Backbone,2023-10-14,6 min Ago,200,14:09:08
Anchor,2023-10-14,6 min Ago,3000,14:09:08
Hunter,2023-10-14,5 min Ago,4800,14:09:08
Catalyst,2023-10-14,5 min Ago,600,14:09:08
Shadow,2023-10-14,5 min Ago,4800,14:09:08
Wall,2023-10-14,5 min Ago,200,14:09:08
Shield,2023-10-14,5 min Ago,200,14:09:08
Cat,2023-10-14,4 min Ago,250,14:09:08
Glove,2023-10-14,4 min Ago,200,14:09:08
GK Basic,2023-10-14,4 min Ago,450,14:09:08
